Image Name,Majority Vote Label,Number of Annotators who Selected SSA (Out of 7),Partition
MHIST_aaa.png,SSA,6,train
MHIST_aab.png,HP,0,train
MHIST_aac.png,SSA,5,train
MHIST_aae.png,HP,1,train
MHIST_aaf.png,SSA,5,train
MHIST_aag.png,HP,2,test
MHIST_aah.png,HP,2,test
MHIST_aai.png,HP,3,train
MHIST_aaj.png,HP,0,train
MHIST_aak.png,HP,2,train
MHIST_aal.png,SSA,5,train
MHIST_aam.png,HP,0,train
MHIST_aao.png,HP,0,train
MHIST_aap.png,HP,2,train
MHIST_aaq.png,SSA,5,test
MHIST_aar.png,HP,0,test
MHIST_aas.png,SSA,4,train
MHIST_aat.png,HP,0,train
MHIST_aau.png,HP,0,train
MHIST_aav.png,HP,0,train
MHIST_aaw.png,HP,0,train
MHIST_aax.png,HP,0,train
MHIST_aay.png,HP,1,test
MHIST_aba.png,HP,0,train
MHIST_abc.png,HP,0,train
MHIST_abd.png,HP,0,train
MHIST_abf.png,HP,2,train
MHIST_abg.png,HP,0,train
MHIST_abh.png,SSA,4,train
MHIST_abj.png,HP,1,train
MHIST_abk.png,HP,2,train
MHIST_abl.png,HP,1,train
MHIST_abm.png,HP,0,train
MHIST_abn.png,HP,2,train
MHIST_abp.png,HP,0,train
MHIST_abq.png,HP,0,train
MHIST_abr.png,SSA,5,train
MHIST_abs.png,HP,2,test
MHIST_abu.png,HP,1,train
MHIST_abv.png,HP,0,train
MHIST_abw.png,HP,0,train
MHIST_abx.png,HP,0,test
MHIST_aby.png,HP,3,train
MHIST_abz.png,HP,0,train
MHIST_aca.png,SSA,6,train
MHIST_acb.png,HP,0,test
MHIST_acd.png,HP,0,train
MHIST_ace.png,SSA,4,train
MHIST_acf.png,SSA,4,train
MHIST_acg.png,HP,3,test
MHIST_ach.png,HP,0,train
MHIST_aci.png,HP,2,train
MHIST_acj.png,HP,0,train
MHIST_ack.png,HP,0,train
MHIST_acl.png,HP,0,train
MHIST_acm.png,SSA,5,train
MHIST_acn.png,HP,2,train
MHIST_aco.png,HP,3,test
MHIST_acq.png,HP,2,test
MHIST_acr.png,HP,3,train
MHIST_acs.png,HP,0,train
MHIST_act.png,HP,1,train
MHIST_acu.png,HP,0,train
MHIST_acv.png,SSA,4,train
MHIST_acw.png,HP,0,test
MHIST_acx.png,HP,1,train
MHIST_acy.png,HP,1,test
MHIST_acz.png,HP,0,train
MHIST_ada.png,SSA,5,train
MHIST_adb.png,HP,0,train
MHIST_adc.png,SSA,6,test
MHIST_add.png,HP,3,test
MHIST_ade.png,HP,2,train
MHIST_adf.png,HP,0,train
MHIST_adg.png,HP,0,train
MHIST_adh.png,HP,2,train
MHIST_adi.png,HP,1,train
MHIST_adj.png,HP,2,test
MHIST_adk.png,SSA,6,train
MHIST_adl.png,HP,3,train
MHIST_adm.png,HP,3,train
MHIST_adn.png,HP,2,train
MHIST_ado.png,HP,3,test
MHIST_adp.png,HP,0,train
MHIST_adq.png,HP,1,train
MHIST_adr.png,SSA,6,train
MHIST_ads.png,HP,0,train
MHIST_adt.png,HP,0,train
MHIST_adv.png,HP,0,train
MHIST_adw.png,HP,0,train
MHIST_ady.png,SSA,4,test
MHIST_adz.png,HP,2,train
MHIST_aea.png,HP,2,train
MHIST_aeb.png,HP,0,test
MHIST_aec.png,HP,2,test
MHIST_aee.png,HP,0,test
MHIST_aef.png,HP,2,train
MHIST_aeg.png,HP,2,train
MHIST_aej.png,HP,3,test
MHIST_aek.png,HP,1,test
MHIST_ael.png,HP,1,train
MHIST_aem.png,HP,1,train
MHIST_aen.png,SSA,4,train
MHIST_aeo.png,HP,1,train
MHIST_aep.png,HP,1,test
MHIST_aeq.png,HP,0,test
MHIST_aer.png,HP,0,train
MHIST_aes.png,HP,2,test
MHIST_aeu.png,HP,1,train
MHIST_aev.png,HP,0,train
MHIST_aew.png,HP,1,train
MHIST_aex.png,HP,1,train
MHIST_aey.png,HP,2,train
MHIST_aez.png,HP,1,test
MHIST_afa.png,HP,2,train
MHIST_afb.png,HP,3,train
MHIST_afc.png,HP,3,test
MHIST_afd.png,HP,1,train
MHIST_afe.png,HP,1,train
MHIST_afg.png,HP,1,test
MHIST_afh.png,HP,0,train
MHIST_afi.png,SSA,4,train
MHIST_afj.png,HP,1,train
MHIST_afl.png,HP,0,train
MHIST_afm.png,HP,2,test
MHIST_afn.png,HP,0,test
MHIST_afo.png,HP,3,test
MHIST_afp.png,HP,1,train
MHIST_afq.png,SSA,6,train
MHIST_afr.png,HP,1,train
MHIST_afs.png,HP,1,test
MHIST_aft.png,SSA,6,train
MHIST_afu.png,HP,1,train
MHIST_afv.png,HP,3,train
MHIST_afw.png,HP,1,train
MHIST_afx.png,HP,1,train
MHIST_afy.png,HP,1,train
MHIST_afz.png,HP,0,train
MHIST_aga.png,HP,1,train
MHIST_agc.png,HP,2,train
MHIST_agg.png,HP,2,train
MHIST_agh.png,HP,2,test
MHIST_agk.png,HP,1,test
MHIST_agl.png,HP,2,train
MHIST_agm.png,HP,2,train
MHIST_agn.png,HP,1,train
MHIST_ago.png,HP,2,train
MHIST_agp.png,HP,3,train
MHIST_agq.png,HP,1,train
MHIST_agr.png,HP,1,train
MHIST_agt.png,HP,1,train
MHIST_agv.png,HP,1,train
MHIST_agw.png,HP,1,train
MHIST_agx.png,HP,1,train
MHIST_agy.png,HP,3,test
MHIST_agz.png,HP,1,train
MHIST_aha.png,SSA,5,test
MHIST_ahb.png,SSA,4,test
MHIST_ahd.png,HP,0,test
MHIST_ahe.png,HP,0,train
MHIST_ahf.png,HP,0,train
MHIST_ahg.png,HP,0,train
MHIST_ahh.png,SSA,5,train
MHIST_ahi.png,HP,1,train
MHIST_ahj.png,HP,2,train
MHIST_ahm.png,HP,2,train
MHIST_ahn.png,HP,1,train
MHIST_aho.png,HP,1,test
MHIST_ahp.png,HP,0,train
MHIST_ahs.png,HP,0,train
MHIST_aht.png,HP,0,train
MHIST_ahv.png,HP,3,train
MHIST_ahw.png,HP,1,test
MHIST_ahx.png,HP,1,train
MHIST_ahy.png,HP,1,train
MHIST_aia.png,SSA,5,train
MHIST_aib.png,HP,1,train
MHIST_aic.png,HP,3,train
MHIST_aid.png,HP,1,train
MHIST_aie.png,HP,1,test
MHIST_aif.png,HP,1,test
MHIST_aig.png,HP,1,train
MHIST_aih.png,SSA,4,train
MHIST_aii.png,HP,2,train
MHIST_aik.png,HP,3,train
MHIST_aim.png,HP,1,test
MHIST_ain.png,SSA,4,test
MHIST_aio.png,HP,1,train
MHIST_air.png,HP,0,train
MHIST_ait.png,HP,2,train
MHIST_aiv.png,HP,0,train
MHIST_aiw.png,HP,3,train
MHIST_aix.png,HP,1,train
MHIST_aiy.png,HP,1,train
MHIST_aiz.png,HP,1,train
MHIST_aja.png,HP,3,train
MHIST_ajb.png,HP,2,train
MHIST_ajd.png,SSA,5,test
MHIST_aje.png,HP,2,train
MHIST_ajg.png,HP,2,train
MHIST_ajh.png,HP,2,train
MHIST_ajj.png,HP,0,train
MHIST_ajk.png,SSA,4,train
MHIST_ajl.png,HP,0,train
MHIST_ajm.png,HP,0,train
MHIST_ajo.png,HP,0,test
MHIST_ajp.png,HP,2,test
MHIST_ajq.png,HP,3,train
MHIST_ajs.png,HP,1,train
MHIST_ajt.png,HP,1,train
MHIST_aju.png,HP,3,test
MHIST_ajv.png,HP,1,train
MHIST_ajw.png,SSA,4,train
MHIST_ajx.png,SSA,4,train
MHIST_ajy.png,HP,1,test
MHIST_ajz.png,HP,3,test
MHIST_aka.png,HP,1,train
MHIST_akb.png,HP,3,train
MHIST_akc.png,HP,1,test
MHIST_akf.png,HP,2,train
MHIST_akg.png,HP,1,train
MHIST_akj.png,HP,0,train
MHIST_ako.png,HP,2,train
MHIST_akp.png,HP,3,test
MHIST_aks.png,SSA,4,train
MHIST_akt.png,HP,1,train
MHIST_aku.png,HP,1,train
MHIST_akv.png,SSA,4,test
MHIST_akw.png,SSA,4,train
MHIST_akz.png,HP,1,train
MHIST_alb.png,HP,1,train
MHIST_alc.png,HP,0,test
MHIST_ald.png,HP,0,train
MHIST_alf.png,HP,0,train
MHIST_alg.png,HP,2,test
MHIST_ali.png,HP,1,test
MHIST_alj.png,HP,1,train
MHIST_alk.png,HP,0,train
MHIST_all.png,HP,3,train
MHIST_alm.png,HP,0,train
MHIST_alo.png,HP,1,test
MHIST_alp.png,HP,0,train
MHIST_alq.png,HP,3,train
MHIST_alr.png,HP,0,test
MHIST_als.png,HP,3,test
MHIST_alt.png,HP,0,test
MHIST_alu.png,HP,3,train
MHIST_alv.png,HP,2,test
MHIST_alx.png,HP,0,train
MHIST_aly.png,HP,2,train
MHIST_alz.png,HP,0,train
MHIST_ama.png,HP,0,train
MHIST_amb.png,HP,2,train
MHIST_amc.png,HP,3,train
MHIST_amd.png,HP,1,train
MHIST_ame.png,HP,1,test
MHIST_amf.png,HP,3,train
MHIST_amh.png,HP,0,train
MHIST_ami.png,HP,0,test
MHIST_amk.png,HP,0,train
MHIST_aml.png,HP,0,train
MHIST_amm.png,SSA,5,test
MHIST_amn.png,HP,0,train
MHIST_amo.png,HP,1,test
MHIST_amp.png,HP,2,train
MHIST_amq.png,HP,1,test
MHIST_amr.png,HP,2,train
MHIST_ams.png,HP,1,train
MHIST_amt.png,HP,3,train
MHIST_amu.png,HP,2,train
MHIST_amw.png,HP,1,test
MHIST_amx.png,HP,1,train
MHIST_amy.png,HP,2,train
MHIST_amz.png,HP,1,test
MHIST_ana.png,HP,0,test
MHIST_anb.png,HP,0,train
MHIST_and.png,HP,0,test
